date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
04/23/2017,CIN,CHC,7,5,+162,-176
04/23/2017,TB,HOU,4,6,+109,-118
04/23/2017,BAL,BOS,2,6,-107,-101
04/23/2017,PHI,ATL,5,2,-108,-100
04/23/2017,PIT,NYY,2,1,-108,+100
04/23/2017,CWS,CLE,6,2,+182,-199
04/23/2017,MIN,DET,4,13,-113,+104
04/23/2017,MIL,STL,4,6,+104,-113
04/23/2017,TEX,KC,5,2,-201,+184
04/23/2017,COL,SF,8,0,-105,-103
04/23/2017,LAA,TOR,2,6,+111,-120
04/23/2017,OAK,SEA,1,11,-122,+113
04/23/2017,ARI,LAD,2,6,+138,-150
04/23/2017,SD,MIA,3,7,+111,-120
04/23/2017,NYM,WSH,3,6,+142,-154
