date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
05/27/2017,NYY,OAK,3,2,-141,+130
05/27/2017,TOR,TEX,3,1,-108,-100
05/27/2017,CWS,DET,3,0,+138,-150
05/27/2017,MIN,TB,5,3,+108,-117
05/27/2017,PHI,CIN,4,3,-125,+115
05/27/2017,WSH,SD,3,0,-264,+240
05/27/2017,BOS,SEA,6,0,-125,+115
05/27/2017,CLE,KC,2,5,-162,+149
05/27/2017,MIA,LAA,2,5,-101,-107
05/27/2017,MIL,ARI,6,1,+118,-128
05/27/2017,CWS,DET,3,4,+111,-120
05/27/2017,LAD,CHC,5,0,-117,+108
05/27/2017,HOU,BAL,5,2,-195,+179
05/27/2017,PIT,NYM,5,4,-136,+126
05/27/2017,COL,STL,0,3,-100,-108
05/27/2017,SF,ATL,6,3,-108,+100
