date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
06/06/2017,BAL,PIT,6,5,-120,+111
06/06/2017,NYY,BOS,4,5,-125,+115
06/06/2017,TB,CWS,2,4,-171,+157
06/06/2017,DET,LAA,3,5,-140,+129
06/06/2017,CIN,STL,13,1,+122,-132
06/06/2017,ATL,PHI,1,3,-101,-107
06/06/2017,MIL,SF,5,2,-113,+104
06/06/2017,TEX,NYM,10,8,+124,-134
06/06/2017,CHC,MIA,10,2,-197,+181
06/06/2017,KC,HOU,9,7,+113,-122
06/06/2017,COL,CLE,11,3,+103,-111
06/06/2017,ARI,SD,10,2,-155,+143
06/06/2017,OAK,TOR,4,1,+110,-119
06/06/2017,LAD,WSH,1,2,+102,-110
06/06/2017,SEA,MIN,12,3,-193,+177
