date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
07/19/2017,MIA,PHI,3,10,-185,+170
07/19/2017,ATL,CHC,2,8,+114,-123
07/19/2017,MIN,NYY,6,1,-101,-107
07/19/2017,HOU,SEA,1,4,+100,-108
07/19/2017,COL,SD,18,4,-192,+176
07/19/2017,OAK,TB,7,2,-113,+104
07/19/2017,SF,CLE,5,4,+202,-221
07/19/2017,PIT,MIL,3,2,-155,+143
07/19/2017,BAL,TEX,10,2,-144,+133
07/19/2017,NYM,STL,7,3,-163,+150
07/19/2017,CIN,ARI,4,3,+147,-160
07/19/2017,BOS,TOR,5,1,-129,+119
07/19/2017,CWS,LAD,1,9,+176,-192
07/19/2017,KC,DET,4,3,-102,-106
07/19/2017,LAA,WSH,7,0,-121,+112
