date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
08/22/2017,PHI,MIA,8,12,-115,+106
08/22/2017,PIT,LAD,5,8,+109,-118
08/22/2017,BAL,OAK,4,6,-165,+152
08/22/2017,CIN,CHC,9,13,+139,-151
08/22/2017,NYM,ARI,4,7,+149,-162
08/22/2017,DET,NYY,4,13,+170,-185
08/22/2017,CLE,BOS,1,9,-177,+163
08/22/2017,TB,TOR,6,5,-205,+188
08/22/2017,ATL,SEA,4,0,+111,-120
08/22/2017,PHI,MIA,4,7,+102,-110
08/22/2017,HOU,WSH,3,4,-170,+156
08/22/2017,CWS,MIN,1,4,+122,-132
08/22/2017,STL,SD,4,12,-163,+150
08/22/2017,KC,COL,3,2,-119,+110
08/22/2017,LAA,TEX,10,1,-163,+150
08/22/2017,SF,MIL,3,4,+105,-114
