date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
09/20/2017,NYY,MIN,11,3,-315,+284
09/20/2017,MIA,NYM,9,2,-172,+158
09/20/2017,DET,OAK,2,3,+110,-119
09/20/2017,SF,COL,4,0,+115,-125
09/20/2017,PHI,LAD,7,5,+241,-265
09/20/2017,BAL,BOS,0,9,+216,-237
09/20/2017,PIT,MIL,6,4,+114,-123
09/20/2017,TOR,KC,5,15,-114,+105
09/20/2017,TB,CHC,8,1,+101,-109
09/20/2017,CIN,STL,2,9,+174,-190
09/20/2017,ATL,WSH,3,7,+143,-155
09/20/2017,HOU,CWS,4,3,-355,+318
09/20/2017,SD,ARI,7,13,+156,-170
09/20/2017,LAA,CLE,5,6,-102,-106
09/20/2017,SEA,TEX,6,8,-144,+133
