date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
10/01/2017,NYY,TOR,1,2,-187,+172
10/01/2017,SF,SD,5,4,-140,+129
10/01/2017,PHI,NYM,11,0,-135,+125
10/01/2017,BOS,HOU,3,4,+115,-125
10/01/2017,WSH,PIT,8,11,-199,+182
10/01/2017,TEX,OAK,2,5,-143,+132
10/01/2017,LAA,SEA,6,2,+115,-125
10/01/2017,MIN,DET,5,1,-182,+167
10/01/2017,MIA,ATL,5,8,-168,+155
10/01/2017,CLE,CWS,3,1,-238,+217
10/01/2017,TB,BAL,6,0,-127,+117
10/01/2017,COL,LAD,3,6,+138,-150
10/01/2017,KC,ARI,2,14,+116,-126
10/01/2017,STL,MIL,1,6,-118,+109
10/01/2017,CHC,CIN,1,3,-179,+165
