date,homeTeam,awayTeam,homeScore,awayScore,homePitcher,awayPitcher,homeLine,awayLine
11/11/1111,Hi,Hi,0.0,0.0,Hi,Hi,0.0,0.0
10/02/05,TOR,KC,7.0,2.0,Gustavo Chacin,Runelvys Hernandez,-157.0,146.0
10/01/05,TOR,KC,6.0,7.0,David Bush,J.P. Howell,-157.0,146.0
09/30/05,TOR,KC,10.0,1.0,Josh Towers,Zack Greinke,-147.0,137.0
09/29/05,BOS,TOR,5.0,4.0,Matt Clement,Scott Downs,-240.0,220.0
09/28/05,BOS,TOR,2.0,7.0,Bronson Arroyo,Ted Lilly,-240.0,220.0
09/27/05,BOS,TOR,5.0,7.0,Curt Schilling,Gustavo Chacin,-210.0,195.0
09/27/05,BOS,TOR,3.0,1.0,Tim Wakefield,David Bush,-250.0,230.0
09/25/05,NYY,TOR,8.0,4.0,Chien-Ming Wang,Josh Towers,-240.0,220.0
09/24/05,NYY,TOR,4.0,7.0,Jaret Wright,Scott Downs,-240.0,220.0
09/23/05,NYY,TOR,5.0,0.0,Shawn Chacon,Ted Lilly,-230.0,212.0
09/22/05,TOR,SEA,7.0,5.0,Gustavo Chacin,Joel Pineiro,-137.0,127.0
09/21/05,TOR,SEA,2.0,3.0,David Bush,Felix Hernandez,114.0,-123.0
09/20/05,TOR,SEA,6.0,4.0,Josh Towers,Jeff Harris,-143.0,133.0
09/19/05,TOR,SEA,5.0,7.0,Scott Downs,Jamie Moyer,-123.0,114.0
09/18/05,TOR,NYY,6.0,5.0,Ted Lilly,Jaret Wright,151.0,-163.0
09/17/05,TOR,NYY,0.0,1.0,Gustavo Chacin,Shawn Chacon,139.0,-150.0
09/16/05,TOR,NYY,10.0,11.0,David Bush,Randy Johnson,167.0,-180.0
09/14/05,TOR,BOS,3.0,5.0,Josh Towers,David Wells,118.0,-127.0
09/13/05,TOR,BOS,9.0,3.0,Scott Downs,Matt Clement,139.0,-150.0
09/12/05,TOR,BOS,5.0,6.0,Ted Lilly,Bronson Arroyo,127.0,-137.0
09/11/05,TB,TOR,6.0,5.0,Casey Fossum,Gustavo Chacin,103.0,-110.0
09/10/05,TB,TOR,2.0,3.0,Scott Kazmir,David Bush,-117.0,109.0
09/09/05,TB,TOR,2.0,7.0,Seth McClung,Josh Towers,100.0,-107.0
09/07/05,BAL,TOR,4.0,7.0,John Maine,Scott Downs,-110.0,103.0
09/06/05,BAL,TOR,5.0,0.0,Daniel Cabrera,Ted Lilly,-120.0,112.0
09/05/05,BAL,TOR,2.0,6.0,Bruce Chen,Gustavo Chacin,-130.0,120.0
09/04/05,TOR,TB,0.0,1.0,David Bush,Scott Kazmir,-133.0,123.0
09/03/05,TOR,TB,2.0,3.0,Josh Towers,Seth McClung,-147.0,137.0
09/02/05,TOR,TB,4.0,3.0,Scott Downs,Mark Hendrickson,-143.0,133.0
09/01/05,TOR,BAL,3.0,5.0,Dustin McGowan,Hayden Penn,-117.0,109.0
08/31/05,TOR,BAL,0.0,7.0,Gustavo Chacin,Bruce Chen,-127.0,118.0
08/30/05,TOR,BAL,7.0,2.0,David Bush,Rodrigo Lopez,-127.0,118.0
08/28/05,TOR,CLE,1.0,4.0,Josh Towers,Jake Westbrook,109.0,-117.0
08/27/05,TOR,CLE,2.0,1.0,Scott Downs,Kevin Millwood,139.0,-150.0
08/26/05,TOR,CLE,3.0,9.0,Dustin McGowan,CC Sabathia,142.0,-153.0
08/25/05,NYY,TOR,6.0,2.0,Shawn Chacon,Gustavo Chacin,-190.0,176.0
08/24/05,NYY,TOR,5.0,9.0,Mike Mussina,David Bush,-240.0,220.0
08/23/05,NYY,TOR,5.0,4.0,Al Leiter,Josh Towers,-170.0,158.0
08/22/05,NYY,TOR,7.0,0.0,Jaret Wright,Scott Downs,-200.0,185.0
08/21/05,DET,TOR,17.0,6.0,Sean Douglass,Dustin McGowan,-117.0,109.0
08/20/05,DET,TOR,3.0,2.0,Jason Johnson,Gustavo Chacin,103.0,-110.0
08/19/05,DET,TOR,9.0,5.0,Mike Maroth,David Bush,-103.0,-104.0
08/17/05,LAA,TOR,1.0,4.0,Jarrod Washburn,Josh Towers,-157.0,146.0
08/16/05,LAA,TOR,3.0,4.0,Joe Saunders,Scott Downs,-133.0,123.0
08/15/05,LAA,TOR,5.0,4.0,Ervin Santana,Gustavo Chacin,-153.0,142.0
08/14/05,BAL,TOR,6.0,7.0,Erik Bedard,Dustin McGowan,-175.0,162.0
08/13/05,BAL,TOR,1.0,0.0,John Maine,David Bush,100.0,-107.0
08/12/05,BAL,TOR,0.0,12.0,Daniel Cabrera,Josh Towers,-140.0,130.0
08/11/05,TOR,DET,2.0,1.0,Scott Downs,Jeremy Bonderman,127.0,-137.0
08/10/05,TOR,DET,4.0,3.0,Gustavo Chacin,Nate Robertson,-147.0,137.0
08/09/05,TOR,DET,6.0,4.0,Dustin McGowan,Sean Douglass,-110.0,103.0
08/08/05,TOR,DET,8.0,9.0,David Bush,Mike Maroth,-133.0,123.0
08/07/05,TOR,NYY,2.0,6.0,Josh Towers,Al Leiter,109.0,-117.0
08/06/05,TOR,NYY,8.0,5.0,Scott Downs,Randy Johnson,212.0,-230.0
08/05/05,TOR,NYY,2.0,6.0,Gustavo Chacin,Aaron Small,-107.0,100.0
08/04/05,CHW,TOR,5.0,4.0,Jose Contreras,Dustin McGowan,-153.0,142.0
08/03/05,CHW,TOR,3.0,4.0,Orlando Hernandez,David Bush,-143.0,133.0
08/02/05,CHW,TOR,3.0,7.0,Jon Garland,Josh Towers,-175.0,162.0
07/31/05,TOR,TEX,5.0,1.0,Gustavo Chacin,C.J. Wilson,-150.0,139.0
07/30/05,TOR,TEX,2.0,3.0,Dustin McGowan,Joaquin Benoit,120.0,-130.0
07/29/05,TOR,TEX,1.0,4.0,Scott Downs,John Wasdin,118.0,-127.0
07/28/05,TOR,LAA,2.0,1.0,David Bush,John Lackey,133.0,-143.0
07/27/05,TOR,LAA,3.0,2.0,Josh Towers,Bartolo Colon,155.0,-167.0
07/26/05,TOR,LAA,8.0,0.0,Gustavo Chacin,Paul Byrd,114.0,-123.0
07/24/05,KC,TOR,6.0,5.0,D.J. Carrasco,Ted Lilly,118.0,-127.0
07/23/05,KC,TOR,4.0,9.0,Kyle Snyder,David Bush,109.0,-117.0
07/22/05,KC,TOR,5.0,3.0,Runelvys Hernandez,Pete Walker,100.0,-107.0
07/21/05,TOR,SEA,6.0,3.0,Josh Towers,Joel Pineiro,-110.0,103.0
07/20/05,TOR,SEA,9.0,4.0,Gustavo Chacin,Ryan Franklin,-123.0,114.0
07/19/05,TOR,SEA,12.0,10.0,Ted Lilly,Aaron Sele,-137.0,127.0
07/17/05,TOR,TB,4.0,5.0,Pete Walker,Seth McClung,-170.0,158.0
07/16/05,TOR,TB,5.0,6.0,Josh Towers,Mark Hendrickson,-167.0,155.0
07/15/05,TOR,TB,11.0,6.0,Gustavo Chacin,Hideo Nomo,-210.0,195.0
07/14/05,TOR,TB,0.0,3.0,Ted Lilly,Casey Fossum,-195.0,180.0
07/10/05,TEX,TOR,9.0,8.0,Chris Young,Josh Towers,-163.0,151.0
07/09/05,TEX,TOR,12.0,10.0,Kenny Rogers,Scott Downs,-200.0,185.0
07/08/05,TEX,TOR,7.0,6.0,John Wasdin,Roy Halladay,142.0,-153.0
07/07/05,TOR,OAK,4.0,2.0,Gustavo Chacin,Rich Harden,133.0,-143.0
07/06/05,TOR,OAK,8.0,0.0,Ted Lilly,Joe Blanton,-103.0,-104.0
07/05/05,TOR,OAK,7.0,10.0,Josh Towers,Dan Haren,118.0,-127.0
07/03/05,BOS,TOR,2.0,5.0,Bronson Arroyo,Roy Halladay,-103.0,-104.0
07/02/05,BOS,TOR,6.0,4.0,David Wells,Gustavo Chacin,-200.0,185.0
07/01/05,BOS,TOR,2.0,15.0,Matt Clement,Ted Lilly,-220.0,204.0
06/29/05,TB,TOR,3.0,12.0,Mark Hendrickson,Josh Towers,100.0,-107.0
06/28/05,TB,TOR,1.0,3.0,Scott Kazmir,Roy Halladay,167.0,-180.0
06/27/05,TB,TOR,4.0,3.0,Hideo Nomo,Pete Walker,120.0,-130.0
06/26/05,WAS,TOR,5.0,9.0,Tony Armas,Gustavo Chacin,-123.0,114.0
06/25/05,WAS,TOR,5.0,2.0,Livan Hernandez,Ted Lilly,-153.0,142.0
06/24/05,WAS,TOR,3.0,0.0,Esteban Loaiza,Josh Towers,-143.0,133.0
06/23/05,TOR,BAL,6.0,2.0,Roy Halladay,Sidney Ponson,-157.0,146.0
06/22/05,TOR,BAL,3.0,2.0,Pete Walker,Daniel Cabrera,109.0,-117.0
06/21/05,TOR,BAL,5.0,9.0,Gustavo Chacin,Rodrigo Lopez,105.0,-113.0
06/20/05,TOR,BAL,11.0,2.0,Ted Lilly,Bruce Chen,118.0,-127.0
06/19/05,TOR,MIL,2.0,5.0,Josh Towers,Chris Capuano,-103.0,-104.0
06/18/05,TOR,MIL,2.0,5.0,Roy Halladay,Ben Sheets,-167.0,155.0
06/17/05,TOR,MIL,9.0,5.0,Gustavo Chacin,Doug Davis,-127.0,118.0
06/15/05,TOR,STL,5.0,2.0,Ted Lilly,Jason Marquis,133.0,-143.0
06/14/05,TOR,STL,0.0,7.0,Chad Gaudin,Chris Carpenter,151.0,-163.0
06/13/05,TOR,STL,4.0,1.0,Roy Halladay,Jeff Suppan,-160.0,148.0
06/12/05,HOU,TOR,3.0,0.0,Roy Oswalt,Josh Towers,-175.0,162.0
06/11/05,HOU,TOR,6.0,3.0,Roger Clemens,Gustavo Chacin,-150.0,139.0
06/10/05,HOU,TOR,4.0,2.0,Wandy Rodriguez,Ted Lilly,112.0,-120.0
06/08/05,CHC,TOR,2.0,0.0,Sergio Mitre,Roy Halladay,148.0,-160.0
06/07/05,CHC,TOR,4.0,6.0,Glendon Rusch,Josh Towers,-167.0,155.0
06/06/05,CHC,TOR,1.0,4.0,John Koronka,Gustavo Chacin,-107.0,100.0
06/05/05,OAK,TOR,12.0,4.0,Dan Haren,Chad Gaudin,-137.0,127.0
06/04/05,OAK,TOR,5.0,2.0,Joe Blanton,Ted Lilly,109.0,-117.0
