"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Michael Gonzalez","Pirates","1","1","0","2","0","0","1.000","3.000","0.1","0","1794"
"Neal Cotts","White Sox","1","1","0","0","0","0","1.000","3.000","0.1","0","1797"
"Al Reyes","Cardinals","1","1","0","0","0","0","1.000","2.000","0.1","0","1005"
"Jason Ellison","Giants","4","2","1","3","0","1",".500","1.750","0.3","2","1704"
"Todd Jones","- - -","0","0","0","0","1","0",".000","1.000","0.0","0","436"
"Elizardo Ramirez","Phillies","0","0","0","0","1","0",".000","1.000","0.0","0","1946"
"Scott Schoeneweis","White Sox","2","1","0","0","0","0",".500","1.500","0.1","0","33"
"Salomon Torres","Pirates","2","1","0","0","0","1",".500","1.500","0.1","0","1628"
"Joey Eischen","Expos","3","2","0","0","0","0",".667","1.333","0.1","0","774"
"Barry Bonds","Giants","373","135","45","101","232","41",".362","1.422","11.9","6","1109"
"Ryan Drese","Rangers","4","2","0","0","0","2",".500","1.250","0.1","0","379"
"Jim Brower","Giants","2","1","0","0","1","1",".500","1.167","0.1","0","313"
"Ernie Young","Indians","4","2","0","0","1","2",".500","1.100","0.1","0","79"
"Tony Torcato","Giants","9","5","0","2","1","0",".556","1.139","0.3","0","1134"
"Kevin Correia","Giants","3","1","0","0","1","1",".333","1.167","0.1","0","1767"
"Josh Bard","Indians","19","8","1","4","3","0",".421","1.162","0.4","0","1578"
"Adam Hyzdu","Red Sox","10","3","1","2","1","2",".300","1.164","0.1","0","1543"
"Stephen Randolph","Diamondbacks","12","5","0","3","0","3",".417","1.083","0.3","0","1655"
"Todd Helton","Rockies","547","190","32","96","127","72",".347","1.088","7.0","3","432"
"Mike Stanton","Mets","2","1","0","1","0","1",".500","1.000","0.0","0","849"
"Steve Reed","Rockies","2","1","0","0","0","1",".500","1.000","0.0","0","1053"
"Charles Gipson","Devil Rays","4","2","0","0","0","1",".500","1.000","0.1","1","1078"
"Jamie Moyer","Mariners","2","1","0","2","0","1",".500","1.000","0.0","0","1091"
"Jason Simontacchi","Cardinals","2","1","0","0","0","0",".500","1.000","0.0","0","1181"
"Dan Miceli","Astros","2","1","0","0","0","1",".500","1.000","0.0","0","1463"
"Chad Bentz","Expos","2","1","0","0","0","0",".500","1.000","0.0","0","1889"
"Brad Halsey","Yankees","2","1","0","0","0","1",".500","1.000","0.0","0","4760"
"Albert Pujols","Cardinals","592","196","46","123","84","52",".331","1.072","7.8","5","1177"
"Jim Edmonds","Cardinals","498","150","42","111","101","150",".301","1.061","8.3","8","1153"
"Lance Berkman","Astros","544","172","30","106","127","101",".316","1.016","6.2","9","548"
"J.D. Drew","Braves","518","158","31","93","118","116",".305","1.006","8.6","12","1152"
"Larry Walker","- - -","258","77","17","47","49","57",".298","1.013","2.8","6","455"
"Frank Thomas","White Sox","240","65","18","49","64","57",".271",".997","2.5","0","255"
"Adrian Beltre","Dodgers","598","200","48","121","53","87",".334","1.017","9.7","7","639"
"Scott Rolen","Cardinals","500","157","34","124","72","92",".314","1.007","9.0","4","970"
"Melvin Mora","Orioles","550","187","27","104","66","95",".340",".981","6.2","11","157"
"Travis Hafner","Indians","482","150","28","109","68","111",".311",".993","4.7","3","1573"
"Manny Ramirez","Red Sox","568","175","43","130","82","124",".308","1.009","3.3","2","210"
"J.T. Snow","Giants","346","113","12","60","58","61",".327",".958","3.9","4","1133"
"Jeremy Reed","Mariners","58","23","0","5","7","4",".397",".935","0.8","3","4730"
"Bobby Abreu","Phillies","574","173","30","105","127","116",".301",".971","5.7","40","945"
"Vladimir Guerrero","Angels","612","206","39","126","52","74",".337",".989","5.9","15","778"
"Garrett Atkins","Rockies","28","10","1","8","4","3",".357",".960","0.2","0","1790"
"Andres Galarraga","Angels","10","3","1","2","0","3",".300",".964","0.0","0","1390"
"David Ortiz","Red Sox","582","175","41","139","75","133",".301",".983","4.2","0","745"
"Adam Dunn","Reds","568","151","46","102","108","195",".266",".956","5.3","6","319"
"Jim Thome","Phillies","508","139","42","105","104","144",".274",".977","4.1","0","409"
"Robb Quinlan","Angels","160","55","5","23","14","26",".344",".926","1.1","3","1779"
"Gary Knotts","Tigers","3","1","0","0","1","1",".333",".833","0.1","0","1428"
"Aramis Ramirez","Cubs","547","174","36","103","49","62",".318",".951","3.7","0","1002"
"Todd Hollandsworth","Cubs","148","47","8","22","17","26",".318",".939","0.9","1","433"
"Jason Davis","Indians","5","1","1","1","0","2",".200","1.000","0.1","0","1598"
"Gary Sheffield","Yankees","573","166","36","121","92","83",".290",".927","3.8","5","114"
"Joe Mauer","Twins","107","33","6","17","11","14",".308",".939","1.2","1","1857"
"Erubiel Durazo","Athletics","511","164","22","88","56","104",".321",".919","3.1","3","1413"
"Augie Ojeda","Twins","59","20","2","7","10","3",".339",".886","0.9","1","297"
"Hideki Matsui","Yankees","584","174","31","108","88","103",".298",".912","3.0","3","1659"
"Carlos Guillen","Tigers","522","166","20","97","52","87",".318",".921","5.4","12","1079"
"Mickey Lopez","Mariners","4","1","0","0","1","0",".250",".750","0.1","0","2283"
"Sean Casey","Reds","571","185","24","99","46","36",".324",".915","3.4","2","314"
"Mark Teixeira","Rangers","545","153","38","112","68","117",".281",".929","4.2","4","1281"
"Brandon Backe","Astros","16","5","1","6","1","8",".313",".889","0.4","0","1529"
"Moises Alou","Cubs","601","176","39","106","68","80",".293",".919","5.9","3","261"
"Troy Glaus","Angels","207","52","18","42","31","52",".251",".930","1.5","2","15"
"Aaron Rowand","White Sox","487","151","24","69","30","91",".310",".905","5.8","17","254"
"Eric Chavez","Athletics","475","131","29","77","95","99",".276",".898","5.3","6","906"
"Jorge Posada","Yankees","449","122","21","81","88","92",".272",".881","4.1","1","841"
"Doug Mirabelli","Red Sox","160","45","9","32","19","46",".281",".893","0.9","0","202"
"Jeromy Burnitz","Rockies","540","153","37","110","58","124",".283",".916","3.1","5","867"
"Richie Sexson","Diamondbacks","90","21","9","23","14","21",".233",".914","0.8","0","709"
"Carlos Beltran","- - -","599","160","38","104","92","101",".267",".915","6.4","42","589"
"Jason Bay","Pirates","411","116","26","82","41","129",".282",".907","1.8","4","1717"
"Dioner Navarro","Yankees","7","3","0","1","0","0",".429",".857","0.0","0","3179"
"Ivan Rodriguez","Tigers","527","176","19","86","41","91",".334",".893","4.7","7","1275"
"Eli Marrero","Braves","250","80","10","40","23","50",".320",".894","1.7","4","1166"
"Jose Hernandez","Dodgers","211","61","13","29","26","61",".289",".910","2.0","3","688"
"Mark Loretta","Padres","620","208","16","76","58","45",".335",".886","5.8","5","1383"
"Russ Adams","Blue Jays","72","22","4","10","5","5",".306",".887","0.1","1","4519"
"Carlos Lee","White Sox","591","180","31","99","54","86",".305",".891","5.5","11","243"
"Trot Nixon","Red Sox","149","47","6","23","15","24",".315",".887","1.1","0","204"
"Alex Rodriguez","Yankees","601","172","36","106","80","131",".286",".888","6.6","28","1274"
"Ryan Howard","Phillies","39","11","2","5","2","13",".282",".897","0.4","0","2154"
"Wes Obermueller","Brewers","39","15","0","5","1","14",".385",".862","0.7","0","1637"
"Paul Konerko","White Sox","563","156","41","117","69","107",".277",".894","1.7","1","242"
"Carlos Delgado","Blue Jays","458","123","32","99","69","115",".269",".907","2.4","0","1297"
"Miguel Tejada","Orioles","653","203","34","150","48","73",".311",".894","6.0","4","941"
"Mark Sweeney","Rockies","177","47","9","40","32","51",".266",".885","0.4","1","1408"
"Jason Varitek","Red Sox","463","137","18","73","62","126",".296",".872","4.1","10","217"
"Ichiro Suzuki","Mariners","704","262","8","60","49","63",".372",".869","7.1","36","1101"
"Miguel Cabrera","Marlins","603","177","33","112","68","148",".294",".879","2.3","5","1744"
"Kevin Millar","Red Sox","508","151","18","74","57","91",".297",".857","1.5","1","529"
"Javy Lopez","Orioles","579","183","23","86","47","97",".316",".872","4.4","0","103"
"Brad Wilkerson","Expos","572","146","32","67","106","152",".255",".872","5.0","13","804"
"Johnny Damon","Red Sox","621","189","20","94","76","71",".304",".857","4.3","19","185"
"Lyle Overbay","Brewers","579","174","16","87","81","128",".301",".863","2.2","2","1617"
"Mike Lowell","Marlins","598","175","27","85","64","77",".293",".870","4.0","5","527"
"Ryan Klesko","Padres","402","117","9","66","73","67",".291",".847","1.7","3","1041"
"Ben Broussard","Indians","418","115","17","82","52","95",".275",".858","2.1","4","312"
"Jeff Kent","Astros","540","156","27","107","49","96",".289",".880","4.2","7","1119"
"Scott Dohmann","Rockies","1","0","0","0","0","1",".000",".500","0.0","0","1936"
"Kelly Stinnett","Royals","59","18","3","7","5","16",".305",".836","0.6","0","356"
"Ross Gload","White Sox","234","75","7","44","20","37",".321",".853","-0.2","0","1538"
"Phil Nevin","Padres","547","158","26","105","66","121",".289",".859","2.5","0","1049"
"David Segui","Orioles","59","20","1","7","5","13",".339",".841","0.1","0","169"
"Kevin Mench","Rangers","438","122","26","71","33","63",".279",".874","3.7","0","1261"
"Derrek Lee","Cubs","605","168","32","98","68","128",".278",".860","2.8","12","525"
"Mike Lamb","Astros","278","80","14","58","31","63",".288",".867","1.8","1","1258"
"Ken Griffey Jr.","Reds","300","76","20","60","44","67",".253",".864","-0.2","1","327"
"Craig Wilson","Pirates","561","148","29","82","50","169",".264",".853","1.1","2","1015"
"Luis Gonzalez","Diamondbacks","379","98","17","48","68","58",".259",".866","1.0","2","55"
"John Mabry","Cardinals","240","71","13","40","26","63",".296",".867","0.3","0","1381"
"Jeff Bagwell","Astros","572","152","27","89","96","131",".266",".842","3.6","6","547"
"Dustan Mohr","Giants","263","72","7","28","46","64",".274",".831","1.4","0","744"
"Brian Giles","Padres","609","173","23","94","89","80",".284",".849","5.0","10","990"
"Aubrey Huff","Devil Rays","600","178","29","104","56","74",".297",".853","4.5","5","1213"
"Ray Durham","Giants","471","133","17","65","57","60",".282",".848","3.1","10","230"
"Nomar Garciaparra","- - -","321","99","9","41","24","30",".308",".842","1.5","4","190"
"David Wright","Mets","263","77","14","40","14","40",".293",".857","2.3","6","3787"
"Hank Blalock","Rangers","624","172","32","110","75","149",".276",".855","4.1","2","1419"
"Jose Guillen","Angels","565","166","27","104","37","92",".294",".849","2.7","5","57"
"Justin Morneau","Twins","280","76","19","58","28","54",".271",".875","0.8","0","1737"
"Vinny Castilla","Rockies","583","158","35","131","51","113",".271",".867","2.5","0","84"
"Lew Ford","Twins","569","170","15","72","67","75",".299",".827","3.4","20","1724"
"Olmedo Saenz","Dodgers","111","31","8","22","12","33",".279",".856","0.6","0","937"
"Casey Blake","Indians","587","159","28","88","68","139",".271",".839","3.4","5","719"
"Victor Diaz","Mets","51","15","3","8","1","15",".294",".850","0.0","0","3424"
"Frank Menechino","- - -","269","74","9","26","37","52",".275",".824","1.3","0","931"
"Matt Holliday","Rockies","400","116","14","57","31","86",".290",".837","1.3","3","1873"
"Chipper Jones","Braves","472","117","30","96","84","96",".248",".847","3.3","2","97"
"Midre Cummings","Devil Rays","54","15","2","7","5","12",".278",".824","0.0","1","1927"
"Shannon Stewart","Twins","378","115","11","47","47","44",".304",".827","1.6","6","1322"
"Marcus Giles","Braves","379","118","8","48","36","70",".311",".821","3.0","17","89"
"Victor Martinez","Indians","520","147","23","108","60","69",".283",".851","3.3","0","393"
"Michael Young","Rangers","690","216","22","99","44","89",".313",".836","2.7","12","1286"
"Andy Phillips","Yankees","8","2","1","2","0","1",".250",".875","0.1","0","2075"
"Mark Bellhorn","Red Sox","523","138","17","82","88","177",".264",".817","3.4","6","264"
"Johnny Estrada","Braves","462","145","9","76","39","66",".314",".828","2.7","0","955"
"Mark Kotsay","Athletics","606","190","15","63","55","70",".314",".829","4.0","8","1042"
"Sammy Sosa","Cubs","478","121","35","80","56","133",".253",".849","2.3","0","302"
"Mike Sweeney","Royals","411","118","22","79","33","44",".287",".851","0.7","3","634"
"Russell Branyan","Brewers","158","37","11","27","20","68",".234",".849","0.9","1","370"
"Magglio Ordonez","White Sox","202","59","9","37","16","22",".292",".836","0.6","0","248"
"Terry Tiffee","Twins","44","12","2","8","3","3",".273",".833","0.3","0","2160"
"Bucky Jacobsen","Mariners","160","44","9","28","14","47",".275",".835","0.5","0","2368"
"Derek Jeter","Yankees","643","188","23","78","46","99",".292",".823","4.7","23","826"
"Wily Mo Pena","Reds","336","87","26","66","22","108",".259",".843","1.9","5","344"
"Jarrod Washburn","Angels","5","2","0","1","0","0",".400",".800","0.1","0","40"
"Damon Hollins","Braves","22","8","0","5","0","4",".364",".818","0.1","0","1919"
"Juan Rivera","Expos","391","120","12","49","34","45",".307",".829","1.4","6","843"
"Julio Franco","Braves","320","99","6","57","36","68",".309",".818","1.2","4","87"
"Marcus Thames","Tigers","165","42","10","33","16","42",".255",".835","1.5","0","1523"
"Jason Kendall","Pirates","574","183","3","51","60","41",".319",".789","4.5","11","993"
"David Bell","Phillies","533","155","18","77","57","75",".291",".821","3.6","1","1108"
"Jorge Piedra","Rockies","91","27","3","10","5","19",".297",".824","0.2","0","2211"
"Jayson Werth","Dodgers","290","76","16","47","30","85",".262",".825","2.4","4","1327"
"Eric Bruntlett","Astros","52","13","4","8","7","13",".250",".847","0.4","4","1753"
"David Newhan","Orioles","373","116","8","54","27","72",".311",".814","2.1","11","2009"
"Calvin Pickering","Royals","122","30","7","26","18","42",".246",".838","0.1","0","208"
"Hee Seop Choi","- - -","343","86","15","46","63","96",".251",".819","1.2","1","270"
"Rick Ankiel","Cardinals","1","0","0","0","1","1",".000",".500","0.0","0","1142"
"Ray Olmedo","Reds","1","0","0","0","1","0",".000",".500","0.0","0","1718"
"Jeremy Griffiths","Astros","1","0","0","0","1","1",".000",".500","0.0","0","1731"
"Jose Vidro","Expos","412","121","14","60","49","43",".294",".821","0.8","3","802"
"Pat Burrell","Phillies","448","115","24","84","78","130",".257",".821","2.0","2","949"
"Bill Mueller","Red Sox","399","113","12","57","51","56",".283",".811","1.1","2","295"
